episode,timestep,reward
7076,1444000,-55.59
7085,1446000,-55.3387
7095,1448000,44.5708
7106,1450000,-3.3565
7116,1452000,-47.1708
7125,1454000,-28.2234
7135,1456000,14.7427
7144,1458000,-39.776
7154,1460000,-52.8488
7164,1462000,-72.4231
7174,1464000,93.4227
7185,1466000,19.7194
7194,1468000,-12.2093
7204,1470000,-18.0802
7213,1472000,-47.2632
7222,1474000,-53.6226
7232,1476000,1.2398
7243,1478000,49.144
7253,1480000,26.1445
7263,1482000,21.566
7274,1484000,-19.3531
7284,1486000,5.2503
7295,1488000,46.6367
7305,1490000,-14.8913
7315,1492000,3.2531
7324,1494000,-38.2808
7334,1496000,-30.2
7344,1498000,0.1414
7355,1500000,53.1667
7365,1502000,-1.6435
7375,1504000,-69.1597
7385,1506000,-6.6463
7396,1508000,12.4659
7406,1510000,35.1364
7417,1512000,99.3351
7428,1514000,41.3209
7439,1516000,28.4556
7449,1518000,38.4491
7460,1520000,41.3536
7471,1522000,47.2925
7481,1524000,62.8933
7492,1526000,41.1495
7502,1528000,52.9224
7512,1530000,22.8703
7522,1532000,5.0851
7532,1534000,-17.4679
7542,1536000,2.1484
7554,1538000,76.6691
7564,1540000,78.0405
7574,1542000,104.5559
7585,1544000,-12.9523
7596,1546000,77.8355
7607,1548000,57.1045
7617,1550000,83.6572
7628,1552000,66.9511
7638,1554000,45.3105
7648,1556000,25.5375
7658,1558000,67.1374
7669,1560000,70.4896
7679,1562000,-81.8552
7690,1564000,48.2946
7701,1566000,14.5738
7712,1568000,88.6695
7723,1570000,59.2779
7734,1572000,108.8936
7744,1574000,16.3408
7754,1576000,-106.1521
7764,1578000,-61.4149
7775,1580000,25.4911
7785,1582000,-4.1447
7795,1584000,8.7301
7805,1586000,14.5145
7816,1588000,-3.7204
7826,1590000,88.8091
7837,1592000,57.6727
7848,1594000,33.8252
7859,1596000,77.0165
7870,1598000,43.2882
7881,1600000,75.8379
7891,1602000,28.8515
7902,1604000,44.8046
7912,1606000,73.8499
7922,1608000,27.3411
7933,1610000,48.5439
7943,1612000,62.312
7954,1614000,86.276
7964,1616000,72.6306
7975,1618000,5.4124
7985,1620000,27.822
7996,1622000,61.4047
8007,1624000,25.6382
8017,1626000,86.6092
8028,1628000,-6.8227
8040,1630000,53.7922
8051,1632000,46.475
8060,1634000,-8.2846
8071,1636000,93.5207
8082,1638000,42.9335
8093,1640000,88.1817
8105,1642000,103.3856
8116,1644000,96.0095
8126,1646000,43.0195
8136,1648000,75.933
8147,1650000,27.3677
8159,1652000,65.1622
8170,1654000,101.7393
8180,1656000,84.1952
8191,1658000,60.5563
8203,1660000,76.5641
8213,1662000,46.97
8224,1664000,46.9114
8234,1666000,129.3914
8244,1668000,99.1179
8254,1670000,9.2271
8265,1672000,107.6706
8275,1674000,122.3072
8286,1676000,66.6651
8296,1678000,102.9172
8307,1680000,18.1695
8317,1682000,79.2175
8328,1684000,70.0825
8339,1686000,34.2583
8350,1688000,48.0772
8360,1690000,80.6602
8371,1692000,77.1818
8382,1694000,80.5092
8392,1696000,31.5004
8401,1698000,41.7371
8412,1700000,83.5882
8422,1702000,117.9572
8433,1704000,51.8494
8443,1706000,7.8695
8453,1708000,-1.7825
8464,1710000,58.6058
8475,1712000,81.8357
8486,1714000,51.7265
8496,1716000,-4.9399
8506,1718000,-10.3884
8517,1720000,64.9294
8528,1722000,114.285
8538,1724000,49.9491
8549,1726000,62.3169
8560,1728000,49.1372
8570,1730000,66.0824
8581,1732000,-29.2782
8591,1734000,24.7333
8603,1736000,99.2581
8614,1738000,54.2797
8623,1740000,49.6151
8633,1742000,81.222
8643,1744000,35.8647
8654,1746000,60.1993
8665,1748000,68.235
8676,1750000,81.8613
8687,1752000,86.5392
8698,1754000,74.311
8708,1756000,119.346
8719,1758000,43.1242
8731,1760000,87.9053
8741,1762000,125.2356
8752,1764000,35.0367
8762,1766000,24.6989
8773,1768000,109.6883
8784,1770000,122.6156
8794,1772000,99.918
8805,1774000,121.6235
8815,1776000,-8.5663
8826,1778000,67.4969
8836,1780000,52.9498
8846,1782000,91.6082
8857,1784000,79.4489
8868,1786000,26.1076
8878,1788000,-1.6552
8888,1790000,-4.6081
8899,1792000,-83.8779
8908,1794000,5.9872
8918,1796000,67.5507
8928,1798000,69.0495
8937,1800000,91.2096
8947,1802000,58.389
8956,1804000,17.1641
8965,1806000,56.0198
8974,1808000,67.3467
8984,1810000,12.6866
8995,1812000,31.5683
9006,1814000,19.5512
9015,1816000,-93.4603
9025,1818000,-32.9761
9035,1820000,42.4652
9046,1822000,76.9617
9056,1824000,-33.7029
9066,1826000,-21.3933
9076,1828000,57.174
9086,1830000,60.8478
9096,1832000,67.9776
9106,1834000,19.9077
9117,1836000,63.3979
9127,1838000,40.3481
9136,1840000,-12.7865
9146,1842000,53.0962
9157,1844000,68.1705
9167,1846000,22.7012
9178,1848000,42.3176
9188,1850000,88.5654
9198,1852000,74.1171
9209,1854000,-57.31
9218,1856000,-50.2494
9229,1858000,90.211
9239,1860000,51.0211
9250,1862000,7.514
9261,1864000,86.8713
9271,1866000,49.1231
9282,1868000,15.9546
9291,1870000,24.3258
9302,1872000,44.402
9311,1874000,-58.5724
9321,1876000,45.0181
9332,1878000,93.7311
9341,1880000,-25.1241
9351,1882000,22.1306
9361,1884000,62.1435
9372,1886000,137.7533
9383,1888000,108.6479
9392,1890000,-170.5047
9401,1892000,71.0198
9412,1894000,-41.4391
9421,1896000,-240.9423
9432,1898000,22.2301
9442,1900000,60.2083
9452,1902000,2.6637
9462,1904000,56.6902
9472,1906000,-36.7246
9481,1908000,-30.5172
9491,1910000,32.5659
9502,1912000,51.7391
9512,1914000,70.1055
9521,1916000,32.9156
9530,1918000,-15.9458
9540,1920000,-39.0125
9550,1922000,-111.1778
9560,1924000,13.185
9570,1926000,51.9156
9579,1928000,136.6215
9590,1930000,-35.207
